match_id,season,round,match_code,league,home_team,away_team,result,elo_home,elo_away,avg_implied_1,avg_implied_x,avg_implied_2
s1_r16_ALA-EIB,1,16,ALA-EIB,SPA,Alaves,Eibar,1,1593.0,1550.0,0.2665032396372372,0.3477647918617244,0.4382237164893808
s1_r16_FA2-VSK,1,16,FA2-VSK,DAN,FA2000,VSK Aarhus,1,,,0.45454545454545453,0.28985507246376807,0.35714285714285715
s1_r16_MCI-INT,1,16,MCI-INT,CL,Manchester City,Inter,1,2083.0,1885.0,0.6792771195863221,0.20737030581795518,0.14324286198186556
s1_r16_EFB-B93,1,16,EFB-B93,DAN,Esbjerg,B93,2,,,0.5263157894736843,0.29411764705882354,0.28571428571428575
s1_r16_BAI-CAG,1,16,BAI-CAG,ITA,Bari,Cagliari,2,1494.0,1572.0,0.39281604030886313,0.3151006900886673,0.34781831998970864
s1_r16_ALA-LVT,1,16,ALA-LVT,SPA,Alaves,Levante,X,1593.0,1617.0,0.40361248955234763,0.33800619620730515,0.33148887442480296
s1_r17_COL-EST,1,17,COL-EST,ARG,Colon,Estudiantes,1,,,0.2870262750177842,0.32796255196329577,0.44573926812054443
s1_r17_HOL-KRO,1,17,HOL-KRO,INT,Holland,Kroatien,X,1967.0,1948.0,0.49429995686183226,0.2920016240152574,0.25884218487467237
s1_r17_SPA-ITA,1,17,SPA-ITA,INT,Spanien,Italien,1,2028.0,1940.0,0.43819538538322556,0.31109175125037025,0.2937605802314478
s1_r17_FIN-SLO,1,17,FIN-SLO,INT,Finland,Slovenien,1,1628.0,1712.0,0.425531914893617,0.31746031746031744,0.31746031746031744
s1_r17_DAN-NI,1,17,DAN-NI,INT,Danmark,Nordirland,1,1871.0,1451.0,0.78125,0.18867924528301888,0.08695652173913043
s1_r17_NOR-SKO,1,17,NOR-SKO,INT,Norge,Skotland,2,1745.0,1814.0,0.5,0.28571428571428575,0.26666666666666666
s1_r17_BEL-ØST,1,17,BEL-ØST,INT,Belgien,Østrig,X,1983.0,1813.0,0.6060606060606061,0.25,0.19607843137254904
s1_r17_LVT-ALA,1,17,LVT-ALA,SPA,Levante,Alaves,X,1617.0,1593.0,0.43959635522256874,0.33321908421718677,0.28551124807959477
s1_r17_KRO-SPA,1,17,KRO-SPA,INT,Kroatien,Spanien,X,1948.0,2028.0,0.26410579322333694,0.28120991625946823,0.4911402763527909
s1_r17_SLO-DAN,1,17,SLO-DAN,INT,Slovenien,Danmark,X,1712.0,1871.0,0.24390243902439024,0.28571428571428575,0.5405405405405405
s1_r18_ISL-POR,1,18,ISL-POR,INT,Island,Portugal,2,1492.0,2032.0,0.10695187165775401,0.19607843137254904,0.7575757575757575
s1_r18_ØST-SVE,1,18,ØST-SVE,INT,Østrig,Sverige,1,1813.0,1739.0,0.4878048780487805,0.29411764705882354,0.28169014084507044
s1_r18_BEU-HOU,1,18,BEU-HOU,U21,Belgien - U21,Holland - U21,X,,,0.29411764705882354,0.30303030303030304,0.5128205128205129
s1_r18_FRU-ITU,1,18,FRU-ITU,U21,Frankrig - U21,Italien - U21,1,,,0.5,0.29411764705882354,0.31746031746031744
s1_r18_STP-SHB,1,18,STP-SHB,IRL,St. Patricks,Shelbourne,1,1167.0,,0.5649717514124294,0.28571428571428575,0.2380952380952381
s1_r18_VIK-SKB,1,18,VIK-SKB,NOR,Viking,Brann,1,1454.0,1355.0,0.37735849056603776,0.2597402597402597,0.43478260869565216
